codcar,carrera
913,Diplomatura Universitaria en Diseño Gestión y Evaluación de Proyectos de ELearning
915,Experto en M-Learning
916,"Storytelling narrativas digitales para aprender, motivar y comunicar"
918,Gamificación cuando jugar es serio
919,Taller Inmersivo en Flipped Classroom
10114,II Jornadas de Trabajo Social e Interdisciplina
248,Curso de Postgrado en Docencia Superior  Universitaria
922,Gestion de Calidad en la Industria de Alimentos 
917,Diseño por competencias para nivel universitario
4011,Experto Universitario en Aprendizaje Digital
4012,Introducción al Marketing
4013,Introducción a la finanzas Corporativas
4014,Introducción a la Contabilidad Financiera
4015,Introducción a la Gestión de Operaciones
905,Curso de Introducción al Adiestramiento Canino
904,Diplomatura Universitaria en Investigación Juridica
925, I Jornadas de Actualización en Investigación y Buenas Prácticas Clínicas
347,Especialización en Peritaje Ambiental
924,Diplomatura en Fideicomiso en los negocios inmobiliarios y empresas familiares
349,Especialización en Derecho de Familia
920,Redaccion de escritos judiciales y practica escrita general
921,El proceso Penal en la Provincia del Chaco
4016,Charla para Padres de Futuros Ingresantes
929,Diplomatura Universitaria de Medicina en Felinos Domésticos
934,Bioseguridad en Establecimientos Sanitarios
95,Tecnicatura Universitaria en Producción Animal
4017,Jornada Red Universitaria
30,Licenciatura en Relaciones Públicas e Institucionales
942,Diplomatura Universitaria en Aplicación de Recursos Tecnológicos para Educación Virtual
4018,Congreso de Economía UCASAL 2018
943,Curso de Postgrado de Bioética (Fundamentos)
96,Tecnicatura Universitaria en Gestión de Calidad
351,Maestría en Comercio Internacional 
69,Licenciatura en Psicopedagogía
10001,Curso de Alzheimer
70,Licenciatura en Terapia Ocupacional
1204,Tecnicatura Universitaria en Producción de Bio-Imágenes
348,"Tecnicatura Universitaria en 
Administración y Gestión Universitaria 
"
173,Diseño Industrial
175,Guía Universitario de Turismo 
4023,Tecnicatura en Turismo
6000,Analista Universitario en Marketing
6001,Analista Universitario en Recursos Humanos
6002,Analista Universitario en Relaciones Públicas
842,Diplomatura Universitaria en actualización bíblica
959,Experto Universitario en Metodologías Activas
958,Hacia una Gestión de Calidad en el Hospital Público de Salta
960,Diplomatura en Derechos Humanos
8001,Curso Online Gratuito 
820,Curso Regular de Inglés
966,Curso Regular de Alemán
967,Curso Regular de Chino
965,Curso Regular de Portugués
963,Curso Regular de Francés
964,Curso de Italiano
961,Curso ELE con fines específicos
172,Especialización en Interpretación de Conferencias en Inglés
178,Especialización en Emprendimientos y Gestión en Ingeniería y Arquitectura
177,Maestría en Gestión del Turismo Sostenible
976,Mooc Organización de pacientes
113,Licenciatura en Gestión Educativa - Ciclo de Complementación Curricular
360,Tecnicatura en Seguridad Informática
977,Diplomatura en Docencia Superior y 
855,Diplomatura en Gestión de Mantenimiento y Confiabilidad Operacional
973,La ESI frente a problemáticas actuales
983,Curso de Conversación en Inglés 
982,"Diplomatura de Tasación, Valoración y Comercialización de bienes Inmuebles"
984,Curso de Posgrado de Bioética II
8008,IX Encuentro Federal de Logoterapia
978,DIPLOMATURA EN DERECHO INDIVIDUAL Y COLECTIVO DEL TRABAJO
969,GESTION DE CALIDAD EN LA ATENCIÓN AL CLIENTE
987,"CURSO ""LA NOTICIA POLICIAL"""
813,CURSO INFORMACION FINANCIERA DEL ESTADO SEGÚN NICSP
980,CLAVES DEL COACHING JURIDICO
979,"CURSO:""COMPLIANCE Y PREVENCION DE LAVADO ACTIVO"""
970,"CEREMONIAL Y PROTOCOLO PÚBLICO, EMPRESARIAL Y SOCIAL"
971,"EVENT PLANNER. ORGANIZACIÓN, DIRECCIÓN Y EJECUCIÓN INTEGRAL DE EVENTOS"
937,PROGRAMA PROFESIONALIZACION DE PYMES DE LA ESTRATEGIA DE NEGOCIOS A LA IMPLEMENTACION
985,CURSO DE ENFERMERÍA CARDIOLÓGICA
986,DIPLOMATURA UNIVERSITARIA EN SOPORTE NUTRICIONAL DEL ADULTO
991,TECNOLOGÍA PARA LA ADMINISTRACIÓN  DE HOTELES Y RESTAURANTES
990,"CURSO:""EL MERCADO INMOBILIARIO ARGENTINO"""
974,DIPLOMATURA EN PSICOLOGÍA Y TERAPIA COGNITIVA CONDUCTUAL
743,Diplomatura Universitaria en Entrenamiento y Nutrición Deportiva
745,Denegación Distribuida de Servicios - DDoS
4021,Diplomatura Universitaria en Aplicación de Recursos Tecnológicos para Educación Virtual
694,HACCP
744,NOTICIAS FALSAS EN TIEMPOS DE POS VERDAD ENTRE LO SENSACIONAL Y LO REAL
746,UNA APROXIMACIÓN A LAS PSICOTERAPIAS CONDUCTUALES CONTEXTUALES
992,GESE
993,Curso Regular de Japones
739,CONGRESO INTERNACIONAL DE EDUCACIÓN A DISTANCIA
696,Diplomatura en Oncología
697,JORNADA: INNOVACIONES TECNOLOGICAS APLICADAS A LA REHABILITACION
4024,"IX Encuentro Federal de Logoterapia, Salta 2019"
699,Curso de Posgrado ¿Por qué la Democracia?
708,CURSO DE POSTGRADO EN FORENSIA DIGITAL
688,TALLER DE ESCRITURA ACADÉMICA: ESTRATEGIAS PARA EL PROCESO DE REDACCIÓN
689,Encuentro de Estudiantes y Egresados de carreras de Licenciatura
690,"Arte Contemporáneo, entre la presentación y la representación. Las artes transfronterizas"
691,PERSPECTIVAS ACTUALES DE EDUCACIÓN Y PROYECTO DE VIDA
692,ÁLGEBRA GEOMÉTRICA Y DEMOSTRACIONES VISUALES EN LA ENSEÑANZA DE LA MATEMÁTICA EN EL NIVEL PRIMARIO
693,Diplomatura en Automatización Industrial
747,Inicio de Estudio Clínico Start-Up	
685,Curso de Postgrado en LIDERAZGO Y TRABAJO EN EQUIPO
4026,Curso mediación en las familias
687,INTRODUCCIÓN A LA CULTURA E IDIOMA CHINO
10,Licenciatura en Economía
49,Tecnicatura Universitaria en Administración de Asociaciones Civiles y Fundaciones
682,Seminario Emprendimiento Femenino Tour LATAM 2019 Salta
47,Profesorado Universitario en Educación Inicial
